N,agent,mode,tau,K,seed,accept_rate,offers_seen_mean,wall_ms_mean,w_hat
50,satisficer,k_greedy,,3,1002,0.3367361111111111,0.8638194444444446,0.0028337500000000003,0.5017712222222221
50,satisficer,k_greedy,,3,1003,0.31493055555555555,0.8352083333333333,0.0029134027777777778,0.4598513819444445
50,satisficer,k_greedy,,3,1004,0.3227777777777778,0.8685416666666665,0.002712708333333333,0.48879039236111116
50,satisficer,k_greedy,,5,1000,0.313125,1.0758333333333332,0.0027166666666666663,0.4638032916666666
50,satisficer,k_greedy,,5,1001,0.41638888888888886,1.1427083333333334,0.003015694444444444,0.5955385555555556
50,satisficer,k_greedy,,5,1002,0.4175,1.183472222222222,0.0029948611111111113,0.5891108541666665
50,satisficer,k_greedy,,5,1003,0.3745833333333333,1.2756944444444445,0.002909791666666667,0.5601691770833334
50,satisficer,k_greedy,,5,1004,0.3954861111111111,1.2449305555555557,0.0028716666666666665,0.5758523958333333
100,satisficer,k_greedy,,1,1000,0.26774305555555555,0.28041666666666665,0.006357152777777778,0.345358875
100,satisficer,k_greedy,,1,1001,0.2735416666666667,0.29854166666666665,0.006711076388888889,0.38361759375
100,satisficer,k_greedy,,1,1002,0.275625,0.2947916666666666,0.006485138888888888,0.38733195833333334
100,satisficer,k_greedy,,1,1003,0.27024305555555556,0.2913541666666667,0.006523368055555555,0.3597427083333333
100,satisficer,k_greedy,,1,1004,0.2794097222222222,0.3069444444444444,0.006248125,0.37554641319444443
100,satisficer,k_greedy,,3,1000,0.28857638888888887,0.7928125,0.004979236111111111,0.43762706250000005
100,satisficer,k_greedy,,3,1001,0.3096875,0.8375347222222222,0.004776458333333333,0.48878481597222223
100,satisficer,k_greedy,,3,1002,0.3194444444444444,0.8407638888888889,0.0050092708333333335,0.4961219409722223
100,satisficer,k_greedy,,3,1003,0.2985069444444444,0.8122569444444444,0.004643263888888889,0.4980239166666667
100,satisficer,k_greedy,,3,1004,0.3453125,0.945138888888889,0.005416979166666665,0.5374724305555555
100,satisficer,k_greedy,,5,1000,0.31864583333333335,1.0495486111111112,0.005048125,0.47414240625
100,satisficer,k_greedy,,5,1001,0.37583333333333335,1.3524652777777777,0.005210069444444444,0.6023736458333333
100,satisficer,k_greedy,,5,1002,0.394375,1.2902083333333334,0.005080243055555556,0.6029128263888889
100,satisficer,k_greedy,,5,1003,0.3343055555555556,1.1794791666666666,0.0052828125,0.5694891979166666
100,satisficer,k_greedy,,5,1004,0.4096180555555556,1.182361111111111,0.005319409722222221,0.5878850729166667
200,satisficer,k_greedy,,1,1000,0.2707465277777778,0.2912152777777778,0.012727395833333332,0.38749813541666667
200,satisficer,k_greedy,,1,1001,0.27359375,0.30501736111111116,0.012366822916666666,0.38337004166666666
200,satisficer,k_greedy,,1,1002,0.2748263888888889,0.2990451388888889,0.012572743055555556,0.38766093749999997
200,satisficer,k_greedy,,1,1003,0.2725520833333333,0.29647569444444444,0.012790885416666667,0.3672222534722222
